,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
101,Saudi Modern Co. For Manufacturing Specialized Electrical Wires And Cables, 0112650850, 0112651737, rcgc@riyadh-cables.com
103,Saudi Modern Cable Manufacturing Company , 0112651415, 0112651423, rcgc@riyadh-cables.com
106,Saudi Modern Cables Manufacturing Co. Ltd. - Riyadh Cables, 0112650850, 0112652062, rcgc@riyadh-cables.com
108,Saudi Modern Co. For Metal Cable & Plastic Industry - Riyadh Cables & Metals, 0112650850, 0112651423, rcgc@riyadh-cables.com
112,Saudi Gulf Hydraulic Company Limited, 0112651616, 0112651722, sghcl@sghcl.com
113,Saudi Gulf Environmental Protection Company Limited, 0112650970, 0112653970, sepcoriyadh@hotmail.com
114,Saudi Arabian Glass Co. Ltd., 0126377462, 0126377462, sagco@sagco.net
116,Saudi Technical Plastic Company, 0112651121, 0112652164, salimkhodr@gmail.com
119,Saudi Kuwait Furniture Manufacturing Company, 0112652160, 0112652167, skchrome@hotmail.com
121,Saudi Kuwait Fiber Products Company, 0114981312, 0114981308, kassem1960@hotmail.com
122,Saudi New Zealand Dairy Company, 0138122200, 0138121248, saleh.alomari@fonterra.com
123,Saudi Dutch Company for Industrial Wood, 0114985603, 0114982765, info@saudiartificialtimber.com
124,Saudi Aluminum Recycling Co. Ltd. (SRCO), 0126718628, 0126718628, abdullatif53@gemel.com
126,Saudi Company for the production of frankincense and its derivatives, 0126366869, 026366869, salghamdi@gandour.com
128,Saudi Cooling Rooms Manufacturing Company , 0112650990, 0112651079, zaib.mohammad@cgs.com.sa
132,Saudi Building Materials Company, 0126356605, 0126740508, m.almalki@sbm-co.com
133,Saudi Company for the production of cleaning materials, 0138121135, 0138123336, raddad@sidco.com.sa
138,Saudi Recycling Company for Paper and Waste, 0138123880, 0138121060, yousseri@saudipaper.com
141,Saudi Ceramic Pipe Production Company , 0114980772, 0114984815, saad@svcpfactory.com
148,Saudi Formica Sheets Company , 0138123598, 0138123410, formica@rakco.com.sa
152,Saudi Steel Pipe Company, 0138122222, 0138121005, info@sspipe.com
154,Saudi Steel Pipe Company Limited , 0138122222, 0138121005, a.hamid@sspipe.com
155,Saudi Air Distribution Systems Company, 0114982984, 0114982497, jawhari@safid.com
156,Saudi Paper Processing Company, 0126081649, 026081649, jeddeh@simpex.com.sa
158,Saudi Paper Converting Company, 0138123210, 0138123229, hassan@saudipaper.com
159,Saudi Steel Manufacturing Company , 0126352173, 0126352173, sbsmfg@saudibuilding.org
162,Saudi Metal Packaging Company, 0138411800, 0138121137, mahmavd@sacco-smc.com
163,Saudi Aluminum Industries Company - Salmco, 0114484322, 0114467523, salumco@salumco.com
164,Saudi Foam Industries Industries Company, 0138122080, 0138122096, spak@saudipack.com.sa
167,Saudi Company for the manufacture of foam dishes, 0126082099, 026082099, Waheed@saudipack.com
169,Saudi Metal Manufacturing Co. Ltd., 0126376069, 0126365433, fballout@smcinteriors.com
170,Saudi Aluminum Manufacturing Company SALMCO, 0114484322, 0114467523, salumco@salumco.com
171,Saudi Furniture Manufacturing Company, 0114385599, 0112652309, athath@carpets.com
172,Saudi Bitumen Industry Co. Ltd., 0112652602, 0112652524, bitumen@saudibitumen.com
173,Saudi Refrigerator Manufacturing Company, 0126373202, 0126363858, srmco@srmco.com.sa
175,Saudi Tin Manufacturing Company Limited, 0126092214, 026092214, abashenfr@scm-co.com
176,Saudi Fuse Manufacturing Co. Ltd., 0126379380, 026379380, zahid@avksvmc.com
177,Saudi Filters Manufacturing Company, 0138121184, 0138121050, info@saudifilter.com
181,Saudi Air Conditioner Company, 0126363731, 026363731, MOHAMMED.GHALLAB@SAMCO.COM.SA
183,Saudi Paper Manufacturing Company, 0138121016, 0138121060, haris.ali@saudipaper.com
184,Saudi Pump Manufacturing Company, 0112651603, 0112650940, 00000@00000000.com
185,Saudi Carpet Making Company - MATEX, 0126081133, 0126081251, awad.m@mattex.com
189,Saudi Cargo Manufacturing Company, 0114659975, 0114647540, email@hotmail.com
190,Saudi Pipe Coating Company, 0138473288, 0138472316, sales.s3c@s3c-me.com
191,Saudi Packaging & Packaging Co. (SPAPC), 0125200216, 025200216, Olaymoneer6@hotmail.com
192,Saudi Packaging & Metal Company , 0138121800, 0138121137, accounts@sacco-smc.com
193,Saudi Ready Mix Concrete Company, 0138472704, 0138473737, ali.rashed@Saudireadymix.com.sa
194,Saudi Ready Mix Concrete Company, 0138822373, 0138822037, mohammed.alshehri@saudireadymix.com.sa
195,Saudi Industrial Paints Company, 0138472299, 0138473780, info@sipco.com.sa
196,Saudi Basic Industries Corporation (SABIC), 0112258992, 0112258904, almarzougia@sabic.com
197,Saudi Basic Industries Corporation (SABIC), 0138108433, 0138108420, aalmarzooq@sabic.com
198,Saudi Leather Industries Co. Ltd., 0138121066, 0138122253, sales@saudileather.com
201,Saudi Company for Limestone Industries, 0112651824, 0112651175, secretary@saudilime.com
203,Saudi Pharmaceutical Industries Company, 0163304450, 0163220010, yasser.aljarbou@spimaco.sa
206,Saudi Pharmaceutical Industries Company, 0112650450, 0112650383, info@saudi-pharma.net
207,Saudi Pharmaceutical Industries Company, 0112650450, 0112650383, hr@saudi-pharma.net
208,Saudi Electrical Industries Company / Copper Products Factory, 0126080643, 026080643, r.ahmed@seico.com.sa
210,Saudi Electrical Industries Co , 0126080643, 026080643, sami_seico@yahoo.com
213,Saudi Chemical Industries Co. Ltd., 0126374857, 026374857, abdulatis@scibailts.com
215,Saudi Metallurgical & Galvanization Company (Saudi Metin), 0126380945, 026380945, talal@saudimetin.co
216,Saudi Mechanical Industries Company, 00112651979/129, 0112651494, admin@smi.com.sa
218,Saudi Company for Testing and Testing, 0114794075, 0114093000, ahmad.barrak@gmail.com
219,Saudi Electricity Company, 0114086195, 0114086027, rlercdv@se.com.sa
222,Saudi Company for Chemicals and Pesticides, 0114488079, 0114486792, salah_vip05@yahoo.com
223,Saudi Light Food Company Limited, 0112018888, 0112011188, abdullah.al-nafie@pepsico.com
228,Saudi Light Food Company Limited, 0126080295, 0126082220, husin.alabduli@pepsico.com
230,Saudi Light Food Company Limited, 0112011188, 0112011188, emil@hotmail.com
231,Saudi Private Lab Company , 0138143417, 038143417, aalqarni@motabaqah.com
232,Saudi Quarters Company , 0114160110, 0146549907, thaif@motabaqah.com
233,Saudi Concrete Products Co. (SKIP), 0112241111, 0112659479, hdjh@h.com
235,Saudi Health Products Company , 0114980820, 0114984879, dispro@dispro.net
237,Saudi Chemical Company, 0138121035, 0138121201, alashqar@atco.com.sa
238,Saudi Commercial Forms Company Limited, 0126370430, 026370430, anissbf@gmail.com
239,Saudi Dairy & Food Products Co. - SADAFCO, 0138121211, 0138578801, talal.alnounou@sadafco.com
240,Saudi Dairy and Food Products Co. (SADAFCO), 0126361440, 0126368728, talal.alnonou@sadafco.com
242,Saudi Company for Fluorescent Chandelier, 0126374417, 026374417, info@sacif.com
245,Saudi Automotive & Equipment Services Co. (SASCO)                         , 0112068855, 0112068833, hassann@sasco.com.sa
246,Saudi Rubber Products Company, 0138121919, 0138121818, ceo@saudirubber.com
248,Eastern Co. for Carton Industry - Esernpack, 0138121341, 0138121305, fouad.khalil@easternpak.com
249,Eastern Co. For Carton Industries (Eastern Pack), 0138121341, 0138121305, Samer.Antonios@easternpak.com
250,Eastern Company for Printing and Press, 0138471404, 0138471396, alkhnani@hotmail.com
251,United Industrial Company for the manufacture of paints, 0126377555, 0126380067, hoadmin@uicpint.com
254,Industrial Company for Global Shelves, 0126376699, 0126364611, al.khashib@usico.com.sa
259,Industrial Co. For Aluminum & Marble - Archital, 0112652042, 0112651718, archital2000@yahoo.com
260,Industrial Company for Casting and Sanitary Ware, 0114480107, 0114464976, abdulaziz@saudicast.com
263,International Paints Manufacturing Co, 0126389680, 026389680, sipespaivlts@hotmail.com
264,International Aluminum Company - ALINCO, 0112651221, 0112651505, info@ggc.com.sa
265,General Company for Technical Projects , 0148235121, 048235121, gulf.tepco@tepcoegypt.com
266,Saudi Arabia Japanese Pharmaceutical Products Co. Ltd., 0126080514, 0126379997, saeed.almalki@sajapharma.com
268,Saudi Arabian Metal Manufacturing Company, 0138123285, 0138123293, safamisales@safami.com.sa
269,Ductile Iron Pipes Company , 0138121001, 0138471645, thamers@amiantit.com
272,Saudi Arabian Packaging Materials Company, 0138471322, 0138474120, info@sapin.com
274,SAUDI ARABIA COMPANY FOR CONCRETE PRODUCTS LTD, 0138471500, 0138471645, thamers@amiantit.com
276,Arab Chemical Company - Polystyrene, 0126373286, 026373286, H.Khaled@EAJB.com.sa
277,Arab Chemical Co. (Polystyrene), 0126372485, 0126373286, h.khalaf@eajb.com.sa
279,Arab Cable Production Company - Plascom, 0112650255, 0112650270, info@plascom.com.sa
280,Arabian Oud & Oriental Perfumes Trading Company, 0114742222, 0112066009, hrustom@arbianoud.com.sa
283,Arabian company for the decoration and decoration of glass, 0114995602, 0114985634, ashouryglass@hotmail.com
284,Arab Furniture Manufacturing Company , 0114980808, 0114981216, info@athath.com
286,Arab Company for Manufacturing Medical Products - Attn, 0114985895, 0114985903, info@enayah.com
288,Arab Co. For Aluminum Extrusion & Coloring, 0126380650, 026380650, aralex@aralex.net
291,Arabian Drilling Equipment & Drilling Industries Company, 0138121180, 0138121139, steve-porter@halliburton.com
292,Arabian Company for the manufacture of blankets and pillows, 0114982226, 0112411553, accp@satex.com.sa
293,Arab Plastic Manufacturing Company - APLCO, 0114480250, 0114480543, info@aplaco.com.sa
294,Arab Paper Manufacturing Co. Ltd. - Paper, 0138121255, 0138121251, hussam.almulla@waraq.com
297,Arab Aluminum Company Limited, 0126080805, 0126081212, tarek.chidiac@alumcogroup.com
298,Arab Tiles Company, 0126147020, 0126147030, khamisk@artic.com.sa
299,Arab Tiles Co. Ltd, 0112652101, 0112651054, info@artic.com.sa
302,Arab Tiles Co. Ltd., 0112652101, 0112651054, khamisk@artic.com.sa
303,Arab Company for Industrialization and Electrical Services , 0112650101, 0112653009, factory@mesco-sa.com
305,Arabian Packaging Co. (Sahari Pack), 0126380826, 026380826, anada@saharipack.com
306,, , , 
307,Arab Galvanization Company , 0138974415, 0138123613, subra@agc.com.sa
309,Arab Slavonic Company Limited, 0122681515, 0126081460, mansour@asco.com.sa
310,Arab Co. For Precision Industries , 0112652651, 0112652913, sales@api-co.com
312,Arab Solar Energy Company, 0112651573, 0112651556, a.alghamdi@olayangroup.com
313,Arabian Perfumes Company Limited, 0126374771, 0126378918, mtaheni@patic.com.sa
316,Arabian Spinning & Textile Company , 0138122093, 0138121204, a-stbcoo@yahoo.com
318,Arab Transformers Company , 0138122199, 0138122199, atc@arabianrransformers.com
321,Arab Pharmaceutical Company Limited, 0125212901, 0125212901, MajedOtaibi@arabio.com
322,Arab Printing Press, 0114983303, 0114983547, info@alkhereijigroup.com
323,Arab Company for Metals and Chemicals, 0138473472, 0138473472, amc.controller@misaudi.com
324,Arab Company for Leather Products, 0112652523, 0112651042, alfaeo126@hotmail.com
325,Arab Company for Chemical Products - APCO, 0112652207, 0112651583, abdul5_apco@hotmail.com
326,Arab Paper Products Company, 0138826291, 0138826291, ks.yakub@oshco.com
327,Arabian Glass Insulation Materials Co. Ltd., 0138471519, 0138473605, almoryear@afico.com.sa
328,Arab Company for Sealants Limited, 0138471950, 0138472823, malyousef@arabianseals.com
329,Arab Plastic Vehicles Company, 0112650088, 0112650330, ricom@apf-spf.com.sa
331,Arab Fiber Glass Products Company, 0112654041, 0112651901, info@aliaf.com
333,Arab Glass Fiber Products Co. - Funds, 0112651902, 0112651901, info@aliaf.com
334,Arab Fiber Glass Products Co. - ALIAF, 0112654041, 0112651901, info@aliaf.com
335,UNITED ARAB EMIRATES CO, 0138121361, 0138121363, ahmed.g@uacan.com
336,Technical company for aluminum furniture and decoration, 0114981296, 0114981292, walieddsy@hotmail.com
337,TECHNICAL COMPANY FOR GLASS , 0126372041, 026372041, info@technoglass.com.sa
340,United Press Production Co. Ltd., 0126080717, 026080717, uipc@sbm.net.sa
341,United Lubricating Oils Company, 0133411179, 0133411344, mohammad@unilubeco.com
342,United Paints Manufacturing Co. Ltd, 0138120011, 0138121011, hussainbader@ucicoat.com
344,United Carton Manufacturing Company, 0122244100, 0126368789, mkadi@ucic.com.sa
348,United Spare Parts Company , 0126371097, 026371097, usp@usp.com.sa
349,United Company for Industrial Investments, 0112650078, 0112650723, info@adpc-ltd.com
351,United Medical Industries Co. Ltd., 0112650665, 0112650569, general@unimed.com.sa
352,United Company For Electrical Transformers, 0114984590, 0114983831, info@utec.com.sa
354,United Wood Products Co. Ltd., 0112657777, 0112652817, info@uwpco.com
357,United Plastic Products Co, 0126081477, 0126380825, ahmed.ibrahim@napcogroup.com
362,Advanced company for metal and glass manufacturing , 0138127776, 0138127470, alu@amg-metal.com
364,Model Company for Precast Concrete Systems , 0138277731, 0138277759, ipc@saudi.net.sa
365,MODEL TECHNICAL SOLUTIONS CO. LTD, 0118120061, 0118120049, mahmoud.shaban@its.sa
366,National Galvanization and Iron Pavings Company, 0112652078, 0112652079, info@galvanco.com
367,National Company for Ice Cream Products, 0126793838, 026793838, amalfactory@yahoo.com
368,National Company for the production of paint and cleaning brushes, 0114980544, 0114982095, info@nibco-ltd.com
370,National fruit juice production company, 0138472728, 0138471406, info@nfjc-ksa.com
371,National Chemical Fertilizer Company, 0112652266, 0112651327, info@nafkal.com
374,National Furniture Manufacturing Company - Furniture, 0112651256, 0112651255, athath@nesma.net.sa
375,National Medical Furniture Manufacturing Company, 0112650792, 0112650813, medical_national@yahoo.com
377,National Company for the manufacture of biscuits and sweets, 0126360606, 0126376183, info@nbcc.com.sa
382,National Battery Manufacturing Company , 0112650019, 0112650057, nbc@battariat.com
384,National Resin Manufacturing Company, 0126080343, 026080343, nir@nesma.net.sa
385,National Lead Smelting Company, 0112652424, 0112652223, hafiz@rasass.com.sa
387,National Glass & Mirrors Co. Ltd., 0126081320, 0126081323, atn_234@hotmail.com
390,National Steel Company Limited - Watani, 0138129669, 0138122991, Administration@altuwairqi.com
391,National Food Industries Co. Ltd., 0126081515, 0126367938, info@nfic.com.sa
394,National Spinning Company, 0112658888, 0112659999, jaber@carpets.com
395,National Company for Concrete Products, 0114982088, 0114982308, laswad2003@hotmail.com
397,National Medical Products Co. Ltd. , 0114981666, 0114985607, Faisal.almaammar@damad.com
398,National Company for Safety & Fire Equipments , 0138122155, 0138122177, info@nafisco.com
399,National Paper Products Company, 0138459400, 0138471435, fahad.alsudairi@napcogroup.com
400,National Packaging Company Limited - Watan Pak, 0112652211, 0112652483, mohamed@watanpac.com.sa
402,National Metal Manufacturing & Casting Co., 0138121267, 0138121301, khalidalhazza@masabik.com
403,Saudi American Glass Company, 0112651212, 0112651738, saglass@saglass.com
406,Riyadh Chamber of Commerce and Industry , 0114040044, 0114093315, indestrey2@rdcci.org.sa
407,Technical Center for Non - Destructive Testing, 0138123905, 0138123910, msalsuhaim@hotmail.com
409,Arab Center for Safety and Industrial Security, 0126370356, 0126370356, rsaqr@arsisc.com.sa
411,National Center for Industrial Safety, 0112651189, 0112654338, safetyaba@hotmail.com
412,Housing for prefabricated buildings , 0172240072, 072240072, alialnazeh@yahoo.com
413,International factories for air conditioning refrigeration and heat exchangers, 0126082277, 026082277, ucheco@hotmail.com
414,Arab Food Factories - FADICO, 0138471330, 0138471330, mohammedr@fadeco.com
415,Al Ahly Refrigerators Factory , 0126369631, 026369631, ali@nrf-sa.com
418,Modern lighting factory, 0126354756, 0126354759, mfgl747@gmail.com
419,Modern factory for prefabricated houses, 0126354789, 026354789, info@mofabhousing.com
420,The modern factory of iron and blacksmiths, 0138473320, 0138473320, e-steel@hotmail.com
421,Modern factory for heaters and refrigerators, 0114489868, 0114486137, m.aldosary@al-jazierah.com
422,Modern factory for heaters and refrigerators , 0114489868, 0114469756, m.aldosary@aljazierah.com
426,Modern factory for heaters refrigerators and air conditioners, 0114489868, 0114469756, info@mofag.com
427,Modern plant for pouring and sanitary ware, 0112651611, 0112651471, mofac123@gmail.com
428,Modern Fiberglass Factory, 0112651544, 0112650948, modernfiberfactory@hotmail.com
431,Modern Factory for Adhesive Products, 0138223830, 0138421658, hdjh@h.com
433,Thermal Pipe Factory, 0112106555, 0112106111, halshabanah@hotmail.com
434,International Metal Products Factory, 0172381614, 0172381614, hamad70_m@yahoo.com
435,Modern Saudi Factory, 0138121127, 0138121127, nawaf.alhasan@gmail.com
437,Saudi Canadian Air Conditioner Factory, 0126081947, 026081947, scfsst@gmail.com
438,Saudi Cleaning Tools Factory - Brishco, 0112652879, 0114481566, info@alhaleefgroup.com
439,Saudi Gas Cylinder Factory, 0112651196, 0112652065, enagas@enagas.com.sa
441,Saudi Factory for Packing Bags, 0138472115, 0138472115, spsf@polysack-almoajil.com
442,Saudi Factory for Electronic Objectives Systems, 0114985557, 0114985599, sets@sets-sa.com
443,Saudi Factory for Drip Irrigation Systems, 0112650445, 0112650584, 0112650584
444,Saudi Factory for the manufacture of rolled steel shapes, 0126380759, 026380759, info@saudisteel.com.sa
446,Saudi Factory for the manufacture of potatoes and foodstuffs, 0112650052, 0112650071, riyadh.paints@hotmail.com
448,Saudi Textile and Textile Technology Factory, 0126351731, 0126380866, syntech@nafa.net
450,Saudi Factory for the manufacture of nitrogen, 0135342299, 035342299, majed@saudi-pultrusion.com
453,Saudi Factory for Rock Wool Industry, 0112650034, 0112650073, khalid@saudirrockwool.com
454,Saudi Factory for Insulating Pipe Industry, 0112651511, 0112651512, kimmcoryd@yahoo.com
455,Saudi Pipe Insulation Factory, 0114980044, 0114982794, sppi@sppi-llc.com
457,Saudi Auto Spare Parts Factory, 0112651166, 0112653002, diedansalem@yahoo.com
458,Saudi Wire Mesh Factory, 0112652585, 0112651668, a.karim@unitedwires.com.sa
459,Saudi Factory for insulating panels and display refrigerators, 0126081361, 0126081361, spfksa@gmail.com
462,Saudi Factory For Color & Food Enhancers, 0126362567, 026362567, mabasj@sps.net.sa
463,Saudi Seamless Steel Pipe Factory, 0138833540, 0138823641, abdullah.alamoudi@vallourec.com
464,Saudi Modern Food Factory, 0126364322, 0126365248, smff@basamh.com
470,Saudi Factory for Non - Magnetic CDs, 0114980810, 0114980622, soudidisc@gmail.com
471,Saudi Factory for Ice Cream (Quality), 0126083222, 0126375757, info@kwality.com.sa
475,Saudi Factory for Cards and Plastic Cards, 0126080017, 026080017, INFO@PEME.COM.SA
476,Saudi Tiles Factory, 0126364960, 026364960, sauditile@gmail.com
477,Saudi injection and product factory , 0114980260, 0114980905, saudi-plastic@hotmail.com
478,Saudi Factory for beds and mattresses, 0138122218, 0138122237, relox.sbm@gmail.com
479,Saudi Metal Scaffolding Factory, 0138474082, 0138473255, president@binex.com.sa
480,Saudi Tire Factory, 0138991188, 0138991177, luaay@saudibelts.com
481,Saudi Factory of Shammag, 0114980558, 0114980570, alajlan2000@hotmail.com
482,Saudi Metal Molding Factory, 0126814223, 026814223, mohammed@daco-ksa.com
483,Saudi Factory For Lists & Cutters, 0112651851, 0112651357, sfp@hotmail.com
485,The Saudi Factory of Cannabis, 0112652431, 0112652452, international_exh@saudi.net.sa
486,Saudi Chemical Processing Factory, 0114985361, 0114981559, t@sorour.org
487,Saudi Transformer Factory, 0126374469, 026374469, mazencom11@hotmail.com
488,Saudi Electrical Transformers Factory, 0126081535, 026081535, setf@setf.com.sa
490,Saudi Petroleum Equipment Factory, 0138121998, 0138121998, showgi@aalsuwaiket.com
492,Saudi Factory for Vacuum Cleaners & Hoses, 0112655412, 0112655414, sayed_abdelmageed@yahoo.com
493,Saudi Factory for Cement Products, 0172380269, 0172380269, bmw11_@hotmail.com
495,Saudi Chemical Products Factory, 0112655411, 0112655414, sayed_abdelmageed@yahoo.com
496,Saudi Ventilation Fan Factory, 0138121866, 0138121894, gassan@refhouse.com
497,Saudi Factory for Telephone Booths, 0125456954, 025456954, mhi@iustanie.com
498,Saudi Factory for abrasives and polishing materials, 0112651837, 0112651800, almudayfer_group@alomraniah.com
499,Advanced Lubricant Factory, 0122683302, 0126368636, unilube-jeddah@unilube.ae
502,The world manufacturer of offset printing plates, 0114980755, 0114983253, info@globopp.com
503,The world factory for jewelry boxes , 0163220074, 063220074, m.alromaih@tatweerco.com
505,World Sports Shoes Factory, 0112650035, 0112650746, alshaboury2010@yahoo.com
506,Universal Metal Products Factory, 0112653661, 0112653660, osavip@hotmail.com
507,The global manufacturer of steam laundry equipment, 0114770000, 0114992972, khozamee1@hotmail.com
508,Saudi Arabian Plastic Products Factory , 0125200862, 025200862, amaadsaudia@yahoo.com
509,Arab Factory for Warning and Public Safety Systems, 0114787005, 0114773075, eissa.zohiry@redanational.com
510,Arab Fish Manufacturing Factory, 0126081881, 0126080150, info@arabfisheries.org
512,Arab Factory For Iron Works , 0138123070, 0138123339, mahmoud@asfsteel.com
516,Arab Adhesive Tape & Plastic Products Factory, 0135340900, 035340900, bohamad1234@gmail.com
518,Arab Furniture Factory, 0114484477, 0114469761, industry@owaidah.com.sa
519,Arab Steel Products Factory, 0126080901, 026080901, efrem.koykkides@se-foundries.com
520,Arab Paper Products Factory, 0114986008, 0114984314, barakah2011@yahoo.com
521,Arabian Paper Factory, 0126377973, 026080901, bilal@bituseal.com
522,Modern factory for furniture aluminum and metal kitchens, 0163220030, 0163220035, asasasry@yahoo.com
523,Technical factory for producing paper bags, 0126080963, 026080963, salembasheikh@yahoo.com
524,Plastic recycling plant, 0135341199, 035341199, techno.plast@aljawadgroup.net
525,Technical Factory of Electrical Distribution Boards, 0114469074, 0114484175, technicalfactory@technicalforepb.com.com
527,United Medical Reagents Factory, 0138121217, 0138121704, mike@udignost.com
528,Premium Factory for Plastic Products, 0126360099, 0126080506, 3p@prime-plastic.com
529,Ideal factory for plastic, 0112691516, 0112696517, alfahis@gmail.com
530,The factory is ideal for pastries and pastries, 0114989296, 0114989295, maher@idealhealth.com.sa
531,National Elevators Factory, 0148459508, 048459508, lc_manager@aghgroup.com
532,Saudi National Factory for Jewelery Boxes Furniture and Decoration, 0112650595, 0112650347, ismael@ncf.com.sa
533,National Factory for Clear Stones, 0112652293, 0114954168, khateeb25@hotmail.com
